State,year,Population
ANDHRA PRADESH,2011,84580777
ANDHRA PRADESH,2012,85466838
ANDHRA PRADESH,2013,86362181
ANDHRA PRADESH,2014,87266904
ANDHRA PRADESH,2015,88181105
ANDHRA PRADESH,2016,89104883
ANDHRA PRADESH,2017,90038338
ANDHRA PRADESH,2018,90981572
ANDHRA PRADESH,2019,91934687
ANDHRA PRADESH,2020,92897787
ARUNACHAL PRADESH,2011,1383727
ARUNACHAL PRADESH,2012,1416108
ARUNACHAL PRADESH,2013,1449247
ARUNACHAL PRADESH,2014,1483162
ARUNACHAL PRADESH,2015,1517870
ARUNACHAL PRADESH,2016,1553390
ARUNACHAL PRADESH,2017,1589742
ARUNACHAL PRADESH,2018,1626945
ARUNACHAL PRADESH,2019,1665018
ARUNACHAL PRADESH,2020,1703982
ASSAM,2011,31205576
ASSAM,2012,31701272
ASSAM,2013,32204842
ASSAM,2014,32716412
ASSAM,2015,33236108
ASSAM,2016,33764059
ASSAM,2017,34300397
ASSAM,2018,34845254
ASSAM,2019,35398766
ASSAM,2020,35961071
BIHAR,2011,104099452
BIHAR,2012,106484466
BIHAR,2013,108924123
BIHAR,2014,111419675
BIHAR,2015,113972402
BIHAR,2016,116583615
BIHAR,2017,119254653
BIHAR,2018,121986887
BIHAR,2019,124781719
BIHAR,2020,127640583
CHANDIGARH,2011,1055449
CHANDIGARH,2012,1072325
CHANDIGARH,2013,1089470
CHANDIGARH,2014,1106889
CHANDIGARH,2015,1124587
CHANDIGARH,2016,1142568
CHANDIGARH,2017,1160836
CHANDIGARH,2018,1179396
CHANDIGARH,2019,1198253
CHANDIGARH,2020,1217412
CHHATTISGARH,2011,25545197
CHHATTISGARH,2012,26071339
CHHATTISGARH,2013,26608317
CHHATTISGARH,2014,27156355
CHHATTISGARH,2015,27715681
CHHATTISGARH,2016,28286527
CHHATTISGARH,2017,28869130
CHHATTISGARH,2018,29463733
CHHATTISGARH,2019,30070583
CHHATTISGARH,2020,30689931
DADRA & NAGAR HAVELI,2011,343709
DADRA & NAGAR HAVELI,2012,359311
DADRA & NAGAR HAVELI,2013,375622
DADRA & NAGAR HAVELI,2014,392673
DADRA & NAGAR HAVELI,2015,410498
DADRA & NAGAR HAVELI,2016,429132
DADRA & NAGAR HAVELI,2017,448613
DADRA & NAGAR HAVELI,2018,468977
DADRA & NAGAR HAVELI,2019,490266
DADRA & NAGAR HAVELI,2020,512522
DAMAN & DIU,2011,243246
DAMAN & DIU,2012,253939
DAMAN & DIU,2013,265102
DAMAN & DIU,2014,276755
DAMAN & DIU,2015,288921
DAMAN & DIU,2016,301621
DAMAN & DIU,2017,314880
DAMAN & DIU,2018,328721
DAMAN & DIU,2019,343171
DAMAN & DIU,2020,358256
GOA,2011,1458544
GOA,2012,1470122
GOA,2013,1481791
GOA,2014,1493553
GOA,2015,1505409
GOA,2016,1517358
GOA,2017,1529403
GOA,2018,1541543
GOA,2019,1553779
GOA,2020,1566112
GUJARAT,2011,60439691
GUJARAT,2012,61514642
GUJARAT,2013,62608711
GUJARAT,2014,63722239
GUJARAT,2015,64855571
GUJARAT,2016,66009060
GUJARAT,2017,67183065
GUJARAT,2018,68377950
GUJARAT,2019,69594086
GUJARAT,2020,70831852
HARYANA,2011,25351462
HARYANA,2012,25815672
HARYANA,2013,26288382
HARYANA,2014,26769748
HARYANA,2015,27259928
HARYANA,2016,27759085
HARYANA,2017,28267381
HARYANA,2018,28784984
HARYANA,2019,29312066
HARYANA,2020,29848798
HIMACHAL PRADESH,2011,6864601
HIMACHAL PRADESH,2012,6948667
HIMACHAL PRADESH,2013,7033762
HIMACHAL PRADESH,2014,7119900
HIMACHAL PRADESH,2015,7207092
HIMACHAL PRADESH,2016,7295352
HIMACHAL PRADESH,2017,7384693
HIMACHAL PRADESH,2018,7475127
HIMACHAL PRADESH,2019,7566670
HIMACHAL PRADESH,2020,7659333
JAMMU & KASHMIR,2011,12541301
JAMMU & KASHMIR,2012,12810239
JAMMU & KASHMIR,2013,13084944
JAMMU & KASHMIR,2014,13365539
JAMMU & KASHMIR,2015,13652152
JAMMU & KASHMIR,2016,13944910
JAMMU & KASHMIR,2017,14243947
JAMMU & KASHMIR,2018,14549396
JAMMU & KASHMIR,2019,14861396
JAMMU & KASHMIR,2020,15180086
JHARKHAND,2011,32988134
JHARKHAND,2012,33662345
JHARKHAND,2013,34350336
JHARKHAND,2014,35052387
JHARKHAND,2015,35768788
JHARKHAND,2016,36499830
JHARKHAND,2017,37245814
JHARKHAND,2018,38007043
JHARKHAND,2019,38783831
JHARKHAND,2020,39576495
KARNATAKA,2011,61095297
KARNATAKA,2012,61987425
KARNATAKA,2013,62892580
KARNATAKA,2014,63810953
KARNATAKA,2015,64742736
KARNATAKA,2016,65688125
KARNATAKA,2017,66647318
KARNATAKA,2018,67620518
KARNATAKA,2019,68607930
KARNATAKA,2020,69609759
KERALA,2011,33406061
KERALA,2012,33566697
KERALA,2013,33728106
KERALA,2014,33890292
KERALA,2015,34053257
KERALA,2016,34217005
KERALA,2017,34381542
KERALA,2018,34546869
KERALA,2019,34712991
KERALA,2020,34879912
MADHYA PRADESH,2011,72626808
MADHYA PRADESH,2012,73984433
MADHYA PRADESH,2013,75367436
MADHYA PRADESH,2014,76776292
MADHYA PRADESH,2015,78211484
MADHYA PRADESH,2016,79673504
MADHYA PRADESH,2017,81162854
MADHYA PRADESH,2018,82680044
MADHYA PRADESH,2019,84225596
MADHYA PRADESH,2020,85800039
MAHARASHTRA,2011,112374333
MAHARASHTRA,2012,114054136
MAHARASHTRA,2013,115759050
MAHARASHTRA,2014,117489450
MAHARASHTRA,2015,119245716
MAHARASHTRA,2016,121028235
MAHARASHTRA,2017,122837400
MAHARASHTRA,2018,124673609
MAHARASHTRA,2019,126537266
MAHARASHTRA,2020,128428781
MANIPUR,2011,2855794
MANIPUR,2012,2919054
MANIPUR,2013,2983716
MANIPUR,2014,3049810
MANIPUR,2015,3117368
MANIPUR,2016,3186423
MANIPUR,2017,3257007
MANIPUR,2018,3329155
MANIPUR,2019,3402901
MANIPUR,2020,3478281
MEGHALAYA,2011,2966888
MEGHALAYA,2012,3040917
MEGHALAYA,2013,3116793
