State,Year,SO2,NO2,PM2.5,Mpc,zscore,spot,xco,yco
Andhra Pradesh,2011,6.917444645486632,14.339149518222078,70.65345891993631,30.636684361215007,-0.784,-1.0,15.9129,79.74
Andhra Pradesh,2012,7.021030750547892,14.911603147236267,72.70358842455435,31.545407440779503,-0.746,-1.0,15.9129,79.74
Andhra Pradesh,2013,7.067832840172173,15.658969611797945,70.84064066095377,31.18914770430796,-0.764,-1.0,15.9129,79.74
Andhra Pradesh,2014,7.587377534394885,18.10595982736768,73.42130066319619,33.038212674986255,-0.621,-1.0,15.9129,79.74
Andhra Pradesh,2015,7.205587497300552,21.80893445432491,74.8460185506066,34.62018016741069,-0.446,0.0,15.9129,79.74
Andhra Pradesh,2016,7.093965842324818,25.593547090733924,76.4380121233858,36.37517501881485,-0.132,0.0,15.9129,79.74
Andhra Pradesh,2017,5.826713626301395,27.17986228093452,78.22124395592735,37.075939954387756,0.012,0.0,15.9129,79.74
Andhra Pradesh,2018,5.22819011245424,30.773386541285745,78.0857696857507,38.029115446496895,0.237,0.0,15.9129,79.74
Andhra Pradesh,2019,5.035952963062743,33.453206133288006,79.83071565710257,39.439958251151104,0.611,1.0,15.9129,79.74
Andhra Pradesh,2020,4.276355649175401,35.3150250048022,80.35093033775154,39.98077033057638,0.803,1.0,15.9129,79.74
Arunachal Pradesh,2011,2.0,5.0,69.4,25.46666666666667,-100.454,-1.0,28.218,94.7278
Arunachal Pradesh,2012,2.0,5.0,69.4,25.46666666666667,-100.454,-1.0,28.218,94.7278
Arunachal Pradesh,2013,2.0,5.0,69.4,25.46666666666667,-1.754,-1.0,28.218,94.7278
Arunachal Pradesh,2014,2.0,5.0,69.4,25.46666666666667,-3.138,-1.0,28.218,94.7278
Arunachal Pradesh,2015,4.266666666666667,5.824999999999999,80.54166666666666,30.21111111111111,-55.206,-1.0,28.218,94.7278
Arunachal Pradesh,2016,6.533333333333333,6.65,91.68333333333334,34.955555555555556,-6.759,-1.0,28.218,94.7278
Arunachal Pradesh,2017,8.8,7.474999999999999,102.825,39.699999999999996,-3.554,-1.0,28.218,94.7278
Arunachal Pradesh,2018,11.066666666666666,8.299999999999999,113.96666666666668,44.44444444444445,-2.662,-1.0,28.218,94.7278
Arunachal Pradesh,2019,13.333333333333334,9.125,125.10833333333332,49.18888888888889,-2.242,-1.0,28.218,94.7278
Arunachal Pradesh,2020,15.6,9.95,136.25,53.93333333333334,-1.956,-1.0,28.218,94.7278
Assam,2011,6.001800290496656,13.814236156291978,70.84759887220704,30.221211772998558,-0.254,0.0,26.2006,92.9376
Assam,2012,6.001800290496656,13.814236156291978,70.84759887220704,30.221211772998558,-0.159,0.0,26.2006,92.9376
Assam,2013,6.862511475615529,15.247843538138689,110.1297166095488,44.08002387443434,0.363,0.0,26.2006,92.9376
Assam,2014,6.882548622634238,14.372545611756795,70.15754495142946,30.470879728606832,-0.11,0.0,26.2006,92.9376
Assam,2015,7.240595104476349,14.143581307700442,94.59318618291891,38.6591208650319,0.485,0.0,26.2006,92.9376
Assam,2016,7.572073165607278,13.87133936228881,118.27589005715647,46.57310086168419,1.05,1.0,26.2006,92.9376
Assam,2017,7.6140490528312545,13.649308990650365,143.49007709704023,54.917811713507284,1.42,1.0,26.2006,92.9376
Assam,2018,7.656024940055229,13.42727861901191,168.704264136924,63.26252256533038,1.617,1.0,26.2006,92.9376
Assam,2019,7.698000827279204,13.20524824737346,193.9184511768078,71.6072334171535,1.718,1.0,26.2006,92.9376
Assam,2020,7.731058383917242,13.089125418352555,220.419317678176,80.41316716014859,1.778,1.0,26.2006,92.9376
Bihar,2011,4.322072072072072,36.516666666666666,162.64144144144143,67.82672672672673,-0.447,0.0,25.6254,85.9215
Bihar,2012,7.385866224689074,36.59666666666666,166.7563475177305,70.2462934696954,-0.196,0.0,25.6254,85.9215
Bihar,2013,7.385866224689074,36.59666666666666,166.7563475177305,70.2462934696954,-1.457,-1.0,25.6254,85.9215
Bihar,2014,7.385866224689074,36.59666666666666,166.7563475177305,70.2462934696954,0.429,0.0,25.6254,85.9215
